gender,age,salary,numberOfMonths,city,numberOfActiveDependants,numberOfJobsChanged,avgDuration,status
M,63,35032.5,440,Riyadh,3,9,48.8888888888889,1
M,36,5438,155,Alshegah,0,5,31,1
M,63,15180.15,300,Riyadh,3,4,75,1
M,61,4000,61,Taif,0,1,61,1
F,58,20335,182,Riyadh,0,1,182,1
M,61,34825,424,Jeddeh,3,9,47.1111111111111,1
M,70,12347.76,442,Alahsa,3,4,110.5,1
M,63,118518.75,439,Riyadh,1,5,87.8,1
M,48,10503.75,300,Makkah,3,5,60,1
M,76,7981,195,Almozahmyah,2,3,65,1
M,72,1500,112,Tabuk,0,2,56,1
M,54,27702.5,311,Riyadh,3,4,77.75,1
F,55,23750,334,Riyadh,1,7,47.7142857142857,1
M,54,14641,345,Aldera yah,6,5,69,1
M,61,2839,102,Madinah Almonwarah,0,1,102,1
M,76,6765,310,Tabuk,2,3,103.333333333333,1
M,61,10613.8,387,Jeddeh,2,10,38.7,1
M,54,11312.5,326,Jeddeh,1,6,54.3333333333333,1
M,61,3000,201,Riyadh,0,9,22.3333333333333,1
M,82,33000,314,Riyadh,3,2,157,1
M,50,34543,311,Riyadh,3,4,77.75,1
M,61,2000,480,Riyadh,3,4,120,1
M,61,3000,79,Riyadh,0,4,19.75,1
M,55,26128.43,406,Buraydah,0,2,203,1
M,64,2140,67,Riyadh,0,4,16.75,1
M,52,10000,348,Dhahran,3,5,69.6,1
M,70,19342.47,360,Tarot,3,6,60,1
M,67,1500,64,Tabuk,0,5,12.8,1
M,65,4070.18,158,Riyadh,0,4,39.5,1
M,61,7150,475,Riyadh,0,3,158.333333333333,1
M,61,3000,66,Tabuk,0,3,22,1
M,55,10233.75,328,Jeddeh,3,7,46.8571428571429,1
M,62,17093.75,484,Jeddeh,3,4,121,1
M,61,7253.38,162,Riyadh,0,11,14.7272727272727,1
M,60,17000,304,Riyadh,3,6,50.6666666666667,1
M,62,3000,118,Riyadh,0,1,118,1
M,64,15552,347,Riyadh,3,7,49.5714285714286,1
M,62,3000,111,Rafha,0,3,37,1
M,72,1500,70,Faid,0,5,14,1
M,65,3208.7,213,Riyadh,0,8,26.625,1
M,67,23731.25,416,Hail,3,7,59.4285714285714,1
M,62,28375,111,Jeddeh,3,6,18.5,1
M,70,28318,456,Dammam,3,7,65.1428571428571,1
M,70,16823.33,305,Riyadh,2,4,76.25,1
F,63,3000,72,Riyadh,0,2,36,1
M,61,3000,74,Hail,0,1,74,1
M,62,1500,153,Taif,3,8,19.125,1
M,45,12457.28,288,Tabuk,4,5,57.6,1
M,64,34685,107,Riyadh,0,2,53.5,1
M,61,12500,424,Madinah Almonwarah,6,6,70.6666666666667,1
M,61,19043.75,370,Alahsa,3,3,123.333333333333,1
M,62,3000,138,Tabuk,0,6,23,1
M,74,12125,304,Tabuk,1,15,20.2666666666667,1
M,53,12100,306,Alahsa,4,5,61.2,1
M,76,34416.66,127,Riyadh,2,2,63.5,1
M,62,4625,160,Makkah,0,7,22.8571428571429,1
M,63,23863,430,Tabuk,3,10,43,1
M,65,3370,203,Hail,0,5,40.6,1
M,77,7700,232,Riyadh,3,3,77.3333333333333,1
M,58,18000,300,Hafer Albaten,0,8,37.5,1
M,55,11300,300,Dammam,3,3,100,1
M,71,3400,67,Jeddeh,0,4,16.75,1
M,61,3100,73,Najran,0,6,12.1666666666667,1
M,66,36750,277,Riyadh,0,6,46.1666666666667,1
M,61,3000,77,Jeddeh,0,1,77,1
M,66,3000,97,Alqateef,0,8,12.125,1
M,69,3000,65,Dammam,0,5,13,1
M,61,3000,96,Tabuk,0,4,24,1
M,62,14520,77,Jeddeh,0,1,77,1
M,65,3000,121,Riyadh,0,3,40.3333333333333,1
M,60,13471.25,459,Madinah Almonwarah,4,4,114.75,1
M,62,4000,460,Riyadh,4,8,57.5,1
M,50,28800,300,Riyadh,3,5,60,1
M,52,17486,315,Jeddeh,4,7,45,1
M,65,45000,472,Dhahran,3,2,236,1
M,76,3000,63,Tarot,0,4,15.75,1
M,73,3000,417,Dammam,3,4,104.25,1
M,71,10045,138,Alahsa,0,9,15.3333333333333,1
M,62,4000,109,Jeddeh,3,4,27.25,1
M,60,1500,69,Riyadh,0,3,23,1
M,65,6740,439,Madinah Almonwarah,4,4,109.75,1
M,66,21600,300,Jeddeh,3,5,60,1
M,60,11966,149,Hail,4,1,149,1
M,62,10316,414,Dammam,3,6,69,1
F,62,3500,63,Jeddeh,0,2,31.5,1
M,57,26082.5,310,Riyadh,3,4,77.5,1
M,65,30237.5,445,Dhahran,3,2,222.5,1
M,63,1500,183,Buraydah,0,4,45.75,1
M,50,24189.67,301,Alqateef,3,2,150.5,1
M,70,23915.67,366,Tarot,2,4,91.5,1
M,65,32355.4,370,Dhahran,1,3,123.333333333333,1
M,54,45000,300,Khobar,3,7,42.8571428571429,1
M,64,3500,64,Jeddeh,0,1,64,1
M,52,22977.11,327,Jeddeh,3,5,65.4,1
M,74,4375,128,Jeddeh,0,2,64,1
M,64,44000,345,Riyadh,2,3,115,1
M,53,11064,331,Alahsa,3,3,110.333333333333,1
M,66,8580,468,Dammam,1,6,78,1
M,89,15732.95,237,Dammam,1,1,237,1
M,61,45000,216,Riyadh,3,5,43.2,1
M,66,3630,80,Riyadh,0,3,26.6666666666667,1
M,61,45000,105,Riyadh,0,3,35,1
M,63,4392.3,138,Jeddeh,0,6,23,1
M,51,10625.99,308,Madinah Almonwarah,5,4,77,1
M,53,28156.29,337,Buraydah,7,5,67.4,1
M,65,9600,452,Madinah Almonwarah,3,5,90.4,1
M,60,13600,415,Tabuk,5,8,51.875,1
F,62,5045,193,Taif,0,2,96.5,1
M,62,45000,136,Jeddeh,1,4,34,1
M,72,2000,90,Tabuk,0,2,45,1
M,70,3300,95,Jeddeh,0,3,31.6666666666667,1
M,61,22300,297,Riyadh,3,2,148.5,1
M,66,5255,257,Aloqaiq,3,3,85.6666666666667,1
M,62,24710.59,379,Alahsa,3,2,189.5,1
M,66,3000,224,Jeddeh,0,8,28,1
M,58,8039.67,436,Arar,3,4,109,1
M,62,2070,124,Riyadh,0,2,62,1
M,68,28800,120,Alqateef,1,3,40,1
M,78,17780,307,Arar,1,2,153.5,1
M,61,2100,121,Riyadh,0,3,40.3333333333333,1
M,56,45000,302,Jeddeh,0,9,33.5555555555556,1
M,60,3575,204,Taif,0,3,68,1
M,49,28640,310,Riyadh,3,2,155,1
M,57,17517.5,439,Jeddeh,3,7,62.7142857142857,1
M,52,45000,300,Khobar,6,7,42.8571428571429,1
M,62,10075,457,Jeddeh,2,6,76.1666666666667,1
M,81,12524.17,242,Hail,3,4,60.5,1
F,87,3150,285,,0,3,95,1
M,53,26200,300,Dammam,3,9,33.3333333333333,1
M,61,45000,137,Riyadh,0,2,68.5,1
M,85,1200,258,Abqeeq,3,2,129,1
M,64,3000,61,Riyadh,0,4,15.25,1
M,60,4655,301,Tabuk,3,9,33.4444444444444,1
M,97,13043.33,144,Dammam,0,1,144,1
M,75,12487.14,486,Dammam,3,7,69.4285714285714,1
M,52,17800,300,Jeddeh,1,8,37.5,1
M,61,3000,94,Dammam,0,3,31.3333333333333,1
M,68,1500,148,Buraydah,0,4,37,1
M,62,3500,188,Jeddeh,0,2,94,1
M,49,5500,303,Aljoubail,7,5,60.6,1
M,53,22751.63,311,Aljoubail,3,3,103.666666666667,1
M,39,4000,108,Jeddeh,0,6,18,1
M,63,45406.25,103,Jeddeh,0,2,51.5,1
M,77,3230,292,Domat Aljandal,3,3,97.3333333333333,1
M,61,3000,109,Riyadh,0,5,21.8,1
M,69,25343.75,458,Dammam,2,4,114.5,1
F,57,3000,171,Jeddeh,0,2,85.5,1
M,60,26012.5,396,Alahsa,3,3,132,1
M,66,8805.93,335,Dammam,2,9,37.2222222222222,1
M,50,24387.5,354,Dammam,3,4,88.5,1
M,64,3000,80,Jeddeh,0,4,20,1
M,48,35255.57,302,Riyadh,3,7,43.1428571428572,1
M,52,16087.79,307,Riyadh,3,9,34.1111111111111,1
M,66,2500,137,Jeddeh,3,3,45.6666666666667,1
M,83,7143,416,Makkah,1,3,138.666666666667,1
F,62,3000,66,Jeddeh,0,1,66,1
M,62,2190,81,Riyadh,0,2,40.5,1
M,72,7620,354,Madinah Almonwarah,3,6,59,1
M,58,1380,250,Arar,4,8,31.25,1
M,61,1500,71,Buraydah,0,3,23.6666666666667,1
M,54,7500,336,Alqateef,3,6,56,1
M,52,27943.75,360,Yanba a,5,4,90,1
M,52,38481.25,303,Riyadh,7,5,60.6,1
M,52,41930,300,Makkah,3,6,50,1
M,70,25509,362,Alqateef,1,4,90.5,1
M,54,20106.94,320,Yanba a Alsyenayeah,3,4,80,1
M,70,4395.6,347,Arar,3,10,34.7,1
M,68,37500,358,Aljoubail,3,9,39.7777777777778,1
M,52,45000,300,Riyadh,3,5,60,1
M,61,19600,300,Madinah Almonwarah,5,6,50,1
M,76,20655.83,318,Dammam,3,1,318,1
M,66,8580,522,Riyadh,3,3,174,1
M,62,28613.75,402,Alqateef,2,4,100.5,1
M,61,3000,288,Buraydah,0,10,28.8,1
M,62,27737.5,407,Khobar,3,2,203.5,1
M,53,16851.94,332,Hoaylan,4,5,66.4,1
M,52,30313.75,322,Dammam,1,3,107.333333333333,1
M,66,3000,61,Hail,0,4,15.25,1
M,79,9087.4,219,Jeddeh,3,5,43.8,1
M,61,4300,88,Khamais Moshait,0,3,29.3333333333333,1
M,60,2500,145,Jeddeh,0,5,29,1
M,66,17112.5,417,Dammam,3,5,83.4,1
M,88,17434.25,208,Alahsa,2,1,208,1
M,61,3000,98,Tabuk,0,4,24.5,1
M,63,2000,65,Jeddeh,0,2,32.5,1
M,70,33509.17,215,Riyadh,3,5,43,1
M,66,16479.17,347,Dammam,3,5,69.4,1
M,59,12887.5,312,Buraydah,4,4,78,1
M,49,15409,316,Riyadh,3,4,79,1
M,53,18633.75,370,Alahsa,3,4,92.5,1
M,60,19028.33,319,Alahsa,3,5,63.8,1
M,62,11272.13,73,Buraydah,0,2,36.5,1
M,58,8734.38,299,Buraydah,0,3,99.6666666666667,1
M,52,24314,317,Aljoubail,0,3,105.666666666667,1
M,53,23479.19,333,Jeddeh,5,6,55.5,1
M,53,12920,348,Riyadh,3,2,174,1
M,59,9906.25,441,Jeddeh,3,5,88.2,1
M,54,25281,301,Riyadh,3,3,100.333333333333,1
M,66,1750,71,Alahsa,0,4,17.75,1
M,55,27117,324,Riyadh,3,2,162,1
M,65,1700,83,Dammam,0,7,11.8571428571429,1
M,62,3010,98,Hail,0,3,32.6666666666667,1
M,56,15593.75,340,Makkah,2,4,85,1
M,67,15510,483,Taif,3,7,69,1
M,77,10578.6,356,Dammam,2,11,32.3636363636364,1
M,77,8090,500,Arrass,1,3,166.666666666667,1
M,73,4188,60,Almelida,0,1,60,1
M,52,11158.75,308,Jeddeh,5,3,102.666666666667,1
M,83,24060,307,Dammam,0,1,307,1
F,60,3600,121,Riyadh,0,6,20.1666666666667,1
M,63,3938,306,Riyadh,3,14,21.8571428571429,1
M,54,14168.53,324,Hail,5,5,64.8,1
M,65,32666.67,340,Dammam,2,2,170,1
M,74,1500,78,Alahsa,1,5,15.6,1
M,47,28800,300,Jeddeh,3,4,75,1
M,52,13992.5,326,Makkah,3,5,65.2,1
M,68,8047,283,Dhahran,1,8,35.375,1
M,63,43750,449,Riyadh,3,6,74.8333333333333,1
M,61,14031,302,Riyadh,2,3,100.666666666667,1
M,80,8845,307,Makkah,2,7,43.8571428571429,1
M,97,5733,16,Riyadh,3,2,8,1
M,57,11960,443,Alahsa,4,4,110.75,1
M,67,4210,236,Riyadh,0,4,59,1
M,62,2115,86,Tabuk,0,2,43,1
M,62,4550,114,Buraydah,0,1,114,1
M,53,18037.5,312,Jeddeh,3,4,78,1
F,65,3000,60,Jeddeh,0,1,60,1
M,62,6330,449,Makkah,2,6,74.8333333333333,1
F,71,10000,84,Jeddeh,0,2,42,1
M,61,32190.67,318,Jeddeh,3,6,53,1
M,64,16709,384,Alahsa,3,3,128,1
M,50,13596.25,319,Riyadh,0,5,63.8,1
M,57,23800,300,Riyadh,3,4,75,1
M,61,15945,487,Alqateef,3,3,162.333333333333,1
M,71,14647.5,361,Alahsa,2,5,72.2,1
M,72,1500,106,Alahsa,3,9,11.7777777777778,1
M,56,9396.25,350,Jeddeh,5,7,50,1
M,60,15843.75,438,Jeddeh,2,4,109.5,1
M,68,15756,315,Dhahran,2,8,39.375,1
M,82,2438,187,Jeddeh,4,7,26.7142857142857,1
M,63,2000,364,Alahsa,2,7,52,1
M,80,21030,318,Alahsa,4,1,318,1
M,55,42036.25,310,Makkah,6,7,44.2857142857143,1
M,52,48725,306,Aljoubail,4,3,102,1
M,68,6295,436,Dammam,2,6,72.6666666666667,1
M,62,3034,120,Tabuk,0,7,17.1428571428571,1
M,97,6880,144,Alahsa,3,1,144,1
M,62,20340,498,Madinah Almonwarah,3,6,83,1
M,67,26455.91,433,Alahsa,3,2,216.5,1
M,62,11300,10,Madinah Almonwarah,3,8,1.25,1
M,65,14676.67,338,Alahsa,3,2,169,1
M,54,15101.4,323,Jeddeh,3,5,64.6,1
M,49,1200,321,Jeddeh,3,10,32.1,1
M,55,24626.25,315,Dammam,3,5,63,1
M,65,3000,81,Alahsa,0,4,20.25,1
M,81,14256.67,275,Alahsa,0,2,137.5,1
M,70,1500,161,Jeddeh,0,2,80.5,1
M,59,4000,414,Jeddeh,3,7,59.1428571428571,1
M,60,5500,112,Jeddeh,0,5,22.4,1
M,78,3000,63,Abqeeq,0,4,15.75,1
M,62,3000,76,Khobar,0,3,25.3333333333333,1
M,55,21090,300,Yanba a Alsyenayeah,3,5,60,1
M,62,11217.79,74,Tabuk,0,2,37,1
M,72,11636.4,293,Alqurayat,2,3,97.6666666666667,1
M,61,3000,84,Buraydah,0,17,4.94117647058824,1
M,61,12638.06,171,Makkah,3,6,28.5,1
M,63,6250,76,Jeddeh,0,2,38,1
M,65,5000,68,Taif,0,4,17,1
M,49,28488,301,Jeddeh,3,7,43,1
M,73,2240,3,Tabuk,0,2,1.5,1
M,46,12804.75,301,Buraydah,7,8,37.625,1
M,62,45000,451,Alahsa,3,2,225.5,1
M,63,38008,382,Jeddeh,3,5,76.4,1
M,66,12894,130,Dammam,0,5,26,1
M,70,9846.67,328,Alahsa,1,5,65.6,1
M,60,2053.33,67,Riyadh,0,7,9.57142857142857,1
M,53,15762.5,363,Dammam,3,4,90.75,1
M,52,6766.1,336,Riyadh,3,4,84,1
M,64,41465,422,Riyadh,3,13,32.4615384615385,1
M,60,26356.92,392,Jeddeh,3,8,49,1
M,69,23286.09,410,Alahsa,3,2,205,1
M,62,19862.5,421,Riyadh,3,4,105.25,1
M,56,26841.25,349,Riyadh,3,4,87.25,1
M,69,4908.2,369,Alahsa,3,5,73.8,1
M,60,31962.5,438,Alahsa,2,2,219,1
M,61,39981.32,140,Riyadh,0,1,140,1
M,63,17150,309,Alahsa,3,1,309,1
M,69,1500,300,Alahsa,3,8,37.5,1
M,63,29067.5,380,Abqeeq,3,2,190,1
M,65,2205,84,Alahsa,0,2,42,1
M,64,13855,492,Aljoubail,5,4,123,1
M,63,12295,338,Jeddeh,2,5,67.6,1
M,68,3000,59,Tabuk,0,2,29.5,1
M,52,4000,78,Jeddeh,0,10,7.8,1
M,55,7200,300,Riyadh,0,5,60,1
M,62,3000,204,Jeddeh,0,5,40.8,1
M,61,45000,321,Riyadh,3,6,53.5,1
M,54,8891,305,Madinah Almonwarah,3,3,101.666666666667,1
M,60,16461.67,327,Alahsa,2,2,163.5,1
M,63,31537.5,426,Alahsa,3,2,213,1
M,62,4600,109,Haqel,0,2,54.5,1
M,60,14262.5,407,Riyadh,2,5,81.4,1
M,63,18670,316,Riyadh,3,4,79,1
M,67,7015,176,Taif,2,5,35.2,1
M,52,17002.78,323,Buraydah,3,5,64.6,1
M,52,15526.25,311,Tabuk,5,4,77.75,1
M,62,4690,76,Gaya,0,2,38,1
M,60,15326,188,Tabuk,0,7,26.8571428571429,1
M,67,3930,214,Alahsa,3,3,71.3333333333333,1
M,62,3000,130,Taif,0,4,32.5,1
M,67,17941,397,Alahsa,2,2,198.5,1
M,67,45000,381,Jeddeh,3,5,76.2,1
M,60,22557.5,318,Alahsa,3,2,159,1
M,58,19093.75,441,Alahsa,2,2,220.5,1
M,57,34343.75,446,Alahsa,1,2,223,1
M,59,16995,451,Madinah Almonwarah,4,5,90.2,1
M,71,16150.75,383,Khobar,3,2,191.5,1
M,67,9387,344,Tabuk,3,7,49.1428571428571,1
M,61,41930,300,Riyadh,3,5,60,1
M,49,14737.5,305,Jeddeh,1,4,76.25,1
M,58,2000,307,Madinah Almonwarah,0,5,61.4,1
M,88,15000,232,Haqel,1,3,77.3333333333333,1
M,66,16928,347,Alahsa,2,7,49.5714285714286,1
M,65,3000,65,Jeddeh,0,3,21.6666666666667,1
M,65,17112.5,387,Buraydah,3,4,96.75,1
M,49,35126.2,324,Yanba a Alsyenayeah,3,5,64.8,1
M,65,866.87,59,Madinah Almonwarah,0,1,59,1
M,64,6295,405,Dammam,1,9,45,1
M,66,3000,60,Madinah Almonwarah,0,3,20,1
M,78,1500,191,Alahsa,0,4,47.75,1
M,67,3000,157,Aldarb,0,2,78.5,1
M,66,3390,354,Madinah Almonwarah,4,5,70.8,1
M,62,40006,433,Riyadh,3,3,144.333333333333,1
M,74,36488.33,276,Riyadh,3,3,92,1
F,61,7845,492,Taif,0,4,123,1
M,65,3000,61,Abha,0,6,10.1666666666667,1
M,60,37068.75,311,Jeddeh,3,3,103.666666666667,1
M,62,6250,169,Riyadh,3,6,28.1666666666667,1
M,71,6295,427,Madinah Almonwarah,3,4,106.75,1
M,52,34900,300,Makkah,3,5,60,1
M,61,3000,63,Jeddeh,0,2,31.5,1
M,47,7900,144,Makkah,0,7,20.5714285714286,1
M,69,3000,155,Riyadh,0,5,31,1
M,51,10300,300,Madinah Almonwarah,4,5,60,1
M,73,16648.33,318,Alahsa,3,2,159,1
M,52,48875,319,Dammam,3,2,159.5,1
M,52,21915,363,Alahsa,3,4,90.75,1
M,50,4062,282,Alahsa,3,15,18.8,1
M,62,3000,128,Abha,0,3,42.6666666666667,1
M,81,4000,254,Alahsa,0,2,127,1
M,56,1500,62,Khamais Moshait,0,2,31,1
M,54,45000,312,Jeddeh,3,6,52,1
M,63,3000,153,Taif,0,2,76.5,1
M,62,13970,434,Alragyah,3,8,54.25,1
M,54,30058.75,318,Jeddeh,5,3,106,1
M,66,3000,60,Alahsa,0,3,20,1
M,61,2012,113,Hail,0,2,56.5,1
M,61,1560,136,Riyadh,0,4,34,1
M,63,10034,288,Riyadh,3,4,72,1
M,70,3000,60,Alahsa,0,4,15,1
M,64,800,314,Jeddeh,3,5,62.8,1
M,62,3000,374,Madinah Almonwarah,3,4,93.5,1
M,62,8580,482,Jeddeh,2,4,120.5,1
M,65,7487.5,420,Makkah,3,6,70,1
M,62,2100,151,Riyadh,0,2,75.5,1
M,67,1500,67,Taif,0,3,22.3333333333333,1
M,65,10900,343,Tabuk,2,5,68.6,1
M,81,3916,337,Riyadh,1,11,30.6363636363636,1
M,50,29500,327,Abqeeq,3,7,46.7142857142857,1
M,92,4375,0,Madinah Almonwarah,3,4,0,1
M,57,2000,102,Buraydah,0,5,20.4,1
M,61,1500,60,Riyadh,0,2,30,1
M,73,10825,306,Madinah Almonwarah,3,4,76.5,1
M,66,31962.5,484,Dhahran,2,2,242,1
M,61,2010,116,Buraydah,0,1,116,1
M,64,8580,483,Buraydah,5,5,96.6,1
M,82,5435,257,Alahsa,3,4,64.25,1
M,64,14955.68,446,Jeddeh,3,4,111.5,1
M,63,39725,422,Dhahran,3,2,211,1
M,55,45000,346,Jeddeh,4,10,34.6,1
M,46,17800,300,Alahsa,5,5,60,1
M,62,1650,121,Makkah,0,3,40.3333333333333,1
M,55,19307.5,324,Tabuk,3,4,81,1
M,64,3000,78,Tabuk,0,5,15.6,1
M,85,6295,384,Khamais Moshait,2,4,96,1
M,76,8000,61,Dammam,2,2,30.5,1
M,61,8000,94,Dammam,0,2,47,1
M,69,8857,119,Riyadh,5,2,59.5,1
M,68,1500,100,Dammam,0,11,9.09090909090909,1
F,87,2100,154,Riyadh,0,2,77,1
M,62,1200,65,Tabuk,0,5,13,1
M,88,11980,182,Arar,1,2,91,1
M,62,4771.6,369,Makkah,3,6,61.5,1
M,62,2430,118,Riyadh,0,3,39.3333333333333,1
M,77,27631,366,Dammam,0,2,183,1
M,55,10010,325,Tabuk,9,5,65,1
M,49,3864,112,Gebah,0,3,37.3333333333333,1
M,63,2000,124,Riyadh,0,4,31,1
M,73,5500,493,Khamais Moshait,2,5,98.6,1
M,68,3000,121,Riyadh,0,2,60.5,1
M,57,25773.75,379,Riyadh,3,4,94.75,1
M,63,47362.5,469,Riyadh,2,2,234.5,1
M,59,12182.5,450,Tabuk,4,4,112.5,1
M,69,2000,308,Tabuk,1,2,154,1
M,64,11630.92,124,Madinah Almonwarah,3,3,41.3333333333333,1
M,65,3383,160,Madinah Almonwarah,3,6,26.6666666666667,1
M,52,3000,72,Makkah,0,3,24,1
M,59,11500,376,Jeddeh,2,8,47,1
M,53,45000,300,Dhahran,3,7,42.8571428571429,1
M,67,5280,136,Riyadh,0,1,136,1
M,61,12125,390,Madinah Almonwarah,1,7,55.7142857142857,1
M,51,28800,300,Madinah Almonwarah,6,7,42.8571428571429,1
M,56,31830,342,Jeddeh,3,6,57,1
M,65,11978.75,463,Dammam,5,9,51.4444444444444,1
M,66,19160,128,Jeddeh,0,1,128,1
M,61,8335,500,Jeddeh,3,5,100,1
M,68,6352.5,482,Jeddeh,3,16,30.125,1
M,60,33977.5,469,Riyadh,3,5,93.8,1
M,62,18229.92,390,Riyadh,3,5,78,1
M,59,9861,352,Riyadh,2,11,32,1
M,87,3160,179,Tabuk,2,3,59.6666666666667,1
F,60,3000,124,Tabuk,0,3,41.3333333333333,1
M,62,10000,204,Madinah Almonwarah,3,3,68,1
M,61,56250,396,Jeddeh,2,5,79.2,1
M,71,18147.5,310,Dammam,1,2,155,1
F,63,2430,96,Jeddeh,0,2,48,1
F,51,17771.25,304,Jeddeh,2,3,101.333333333333,1
M,60,18101.6,300,Jeddeh,3,9,33.3333333333333,1
M,61,16305,355,Riyadh,3,8,44.375,1
M,52,24678.75,300,Buraydah,1,5,60,1
M,59,54450,443,Jeddeh,3,7,63.2857142857143,1
M,62,2725,128,Riyadh,0,7,18.2857142857143,1
M,66,4400,95,Riyadh,0,1,95,1
M,57,11472,411,Buraydah,0,5,82.2,1
M,56,36520,409,Aljoubail,4,4,102.25,1
M,62,13215,440,Jeddeh,3,4,110,1
M,74,9022,360,Tabuk,3,4,90,1
M,77,16980.83,277,Arar,3,2,138.5,1
M,74,702,65,Taif,0,1,65,1
M,64,19395,450,Madinah Almonwarah,3,6,75,1
M,62,2190,74,Riyadh,0,2,37,1
M,70,1500,147,Khobar,0,6,24.5,1
M,60,45000,385,Riyadh,3,9,42.7777777777778,1
M,67,20183.33,364,Alahsa,2,3,121.333333333333,1
M,67,45000,477,Dhahran,3,3,159,1
M,67,21726.84,414,Riyadh,1,4,103.5,1
M,71,45000,420,Dhahran,1,2,210,1
M,62,2560,94,Makkah,0,4,23.5,1
M,50,46750,307,Jeddeh,3,2,153.5,1
M,86,2955,349,Alsayel,2,6,58.1666666666667,1
M,65,16980.9,225,Jeddeh,3,4,56.25,1
M,61,3000,61,Hail,0,2,30.5,1
M,67,8580,483,Dammam,3,6,80.5,1
M,54,3000,129,Jeddeh,0,13,9.92307692307692,1
M,84,25205,281,Dhahran,0,1,281,1
M,66,3300,65,Tabuk,0,5,13,1
